cell_id,centroid_x,centroid_y,area_pixels,area_microns_sq,perimeter_microns,equivalent_diameter_microns,major_axis_microns,minor_axis_microns,aspect_ratio,eccentricity,solidity,circularity,roundness,mean_green_intensity,max_green_intensity,min_green_intensity,green_intensity_std,mean_chlorophyll_intensity,max_chlorophyll_intensity,chlorophyll_intensity_std,chlorophyll_density,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,color_variation,high_chlorophyll,biomass_estimate,cell_type,health_status,size_category,chlorophyll_category,cluster_id,timestamp,image_path
11,491.2741935483871,36.725806451612904,62.0,15.5,17.417261889578036,4.442433223290478,7.001167140609953,3.321060720493051,2.108111753997243,0.8803319497536365,0.7654320987654321,2.568276568062492,1.610500694878397,0.6221688044523042,0.8508821912156531,0.09193123754358018,0.14258304013736678,0.10408051712855572,0.1041990137751653,5.805229921331723e-05,0.006714872072810046,0.611258697027198,0.6191018342821,0.599493991144845,0.054582443652680446,0.054582443652680446,0.054582443652680446,0.08948652963866689,False,5.055411473176706,small_medium,healthy,small,medium,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
12,453.8974358974359,40.28846153846154,78.0,19.5,20.33147545195113,4.982787485166879,7.723820104839561,3.5405140038533736,2.1815533271251635,0.8887516778487468,0.8478260869565217,2.371191741857701,1.664717025275054,0.5938562959949503,0.7856566891224012,0.2219644534192462,0.12121649381812517,0.10223795816101577,0.10636324825451234,0.011887267745600632,0.005242972213385424,0.643690296631473,0.6515334338863751,0.6326294620412267,0.03908335823151901,0.03908335823151901,0.03900644828253164,0.06077909106244311,False,6.024284760103439,small_medium,moderate,small,medium,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
13,564.4488636363636,41.07386363636363,88.0,22.0,25.056349186104043,5.292567428401227,9.626606251061007,3.7318350154985245,2.5795905261302177,0.9218030948516984,0.7096774193548387,1.761395776487875,1.209055880257037,0.5335500153777898,0.7830539929713539,0.298195073350197,0.10816989854628122,0.14700577568287115,0.1474705385374738,0.00023173915321358408,0.00668208071285778,0.495855614973262,0.5076203208556149,0.4801693404634581,0.030496101671691228,0.030496101671691228,0.030496101671691228,0.06166454103079487,False,6.80434270051339,small_high,moderate,small,high,0,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
14,374.09285714285716,43.371428571428574,70.0,17.5,16.606601717798213,4.720348719413148,6.632457374918361,3.6264193542882417,1.8289273045808887,0.8372837697608495,0.8974358974358975,3.189674483262467,2.0260922881711982,0.5843696808883501,0.8345963567804789,0.38233269458803215,0.09961463059062786,0.06748840401186061,0.06758593471029664,3.862217325209787e-05,0.0038564802292491776,0.6726050420168067,0.6804481792717086,0.6686834733893557,0.026768161253997683,0.026768161253997683,0.026768161253997683,0.03972054519927888,False,5.136947929504182,small_low,healthy,small,low,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
15,493.3712871287129,43.272277227722775,101.0,25.25,20.520815280171306,5.670035141386943,7.840836145917279,4.2122827051454825,1.8614221064363423,0.8434398243522347,0.8706896551724138,3.013991448012035,2.0917353495123527,0.585056291663143,0.8378455631418684,0.24883191672939137,0.1396672873937987,0.10396736368427878,0.10407535954965719,6.871600549052733e-05,0.004117519353832823,0.5961949136090079,0.6040380508639099,0.584430207726655,0.05167737479987437,0.05167737479987437,0.05167737479987437,0.08686912287686654,False,8.15902376399143,small_medium,healthy,small,medium,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
16,173.0648854961832,43.70992366412214,131.0,32.75,26.09188309203678,6.457444935117649,8.397110882241552,5.601122050356012,1.4991837004708415,0.7450311586393293,0.793939393939394,2.418078033363016,2.365492842453159,0.5584448913781659,0.83273036556512,0.3009013257159856,0.1092937192926138,0.09322219969554815,0.09336466023762943,5.7814536091244786e-05,0.0028464793800167375,0.6856757970363718,0.6935189342912738,0.6817542284089209,0.02636896471200079,0.02636896471200079,0.02636896471200079,0.03838372307197454,False,9.46734398576732,medium_low,moderate,medium,low,4,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
17,206.62640449438203,47.252808988764045,178.0,44.5,34.21320343559643,7.527227892173502,12.64400204825293,5.3629354711135875,2.3576644015870403,0.9055926153521215,0.7672413793103449,1.9109194762415274,1.417623832890198,0.5428244793969005,0.848929077019769,0.1072944832073286,0.15418844250914923,0.09216925566902921,0.09232007567802887,7.685636307537219e-05,0.0020712192285175105,0.6835646618197841,0.6914077990746861,0.6796430931923332,0.04030863570427967,0.04030863570427967,0.04030863570427967,0.05885573428679015,False,12.051205230571547,medium_low,moderate,medium,low,0,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
18,421.35,46.6,250.0,62.5,46.180717856868625,8.920620580763856,13.578779031919495,8.517790793527595,1.5941667694207267,0.778788219406875,0.6361323155216285,1.4730873960160735,1.7263493481715975,0.527959826562554,0.8121353253672782,0.09246302068389024,0.14398150654165706,0.07704957747572178,0.10759337125896612,0.017591449335230075,0.0012327932396115483,0.645443137254902,0.6532862745098039,0.6394509803921569,0.0409593258546983,0.0409593258546983,0.04105947899171549,0.06345030173597954,False,15.2249771554053,large_low,stressed,large,low,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
19,614.2841726618705,46.327338129496404,139.0,34.75,34.781222920256965,6.651697090182843,9.954171230402407,7.225660090592554,1.3776141010787701,0.687807973580435,0.6289592760180995,1.4438928589213802,1.786136743233425,0.545982260116349,0.9030790253054807,0.028853520451289912,0.23996637325891018,0.08818895220446157,0.13712934531432808,0.011982870125992815,0.00253781157422911,0.4624911835237692,0.4669205811821131,0.44313725490196076,0.04564386280407231,0.04566809580373171,0.04564578099223653,0.09978349599431525,False,8.968649012164205,medium_low,stressed,medium,low,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
20,408.86293436293437,49.5945945945946,259.0,64.75,51.11269837220809,9.079772052293041,14.210606779547355,8.43010263222036,1.6856979564203123,0.8050359069620642,0.6442786069651741,1.2458105660292105,1.632994184605057,0.560401091760161,0.8726198467662954,0.20218964809539836,0.1280631836940986,0.06652536407549443,0.06665843828005705,8.795512297345127e-05,0.0010274187502006863,0.6579301991066696,0.6657733363615717,0.6540086304792186,0.0328188462938401,0.0328188462938401,0.0328188462938401,0.049783047592445215,False,15.632861246426485,large_low,stressed,large,low,2,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif
