cell_id,centroid_x,centroid_y,area_pixels,area_microns_sq,perimeter_microns,equivalent_diameter_microns,major_axis_microns,minor_axis_microns,aspect_ratio,eccentricity,solidity,circularity,roundness,mean_green_intensity,max_green_intensity,min_green_intensity,green_intensity_std,mean_chlorophyll_intensity,max_chlorophyll_intensity,chlorophyll_intensity_std,chlorophyll_density,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,color_variation,high_chlorophyll,biomass_estimate,cell_type,health_status,size_category,chlorophyll_category,cluster_id,timestamp,image_path
40,638.5941943127962,369.92357819905214,844.0,211.0,68.88477631085024,16.39065416446578,21.794298346258387,14.520313513888288,1.5009523262299211,0.7457341081394498,0.8,2.235145532482705,2.262386401823535,0.11514213068360456,0.23512550589479397,0.03049692225670647,0.04836525127673444,0.21500378713694362,0.33949192277531653,0.05020023251930465,0.0010189752944878845,0.38300808475048786,0.3875290400520398,0.35373106588607006,0.03060803102088016,0.030413096135575017,0.03206925445253717,0.08280086760435323,False,47.771582775460324,large_high,moderate,large,high,3,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
41,649.4006849315068,379.5821917808219,146.0,36.5,23.071067811865476,6.817128675830715,9.429278367952307,5.053230123411989,1.8659902948543274,0.844276088759628,0.948051948051948,3.4468892408707856,2.090769039585654,0.1515284171089161,0.22327378030443928,0.11039975087318203,0.026408821711095057,0.22693841396922337,0.2631414857969937,0.01775587402438487,0.006217490793677353,0.41646521622347565,0.41659951651893634,0.37716894977168947,0.012889386459721127,0.013022891280796575,0.014314773593930073,0.033239077639023694,False,10.028034653970773,medium_high,healthy,medium,high,1,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
42,683.7286821705426,379.7596899224806,129.0,32.25,22.485281374238568,6.407961869245868,9.156726929500847,4.599274982574019,1.9909066024959037,0.8647028690499468,0.8896551724137931,3.2062908907747714,1.9589317402671567,0.3989908427672411,0.584439634029672,0.12644863981327725,0.1156862205198951,0.22829596408172845,0.2886109332220542,0.04802572449747222,0.0070789446226892545,0.5573795409636723,0.5630642954856362,0.5265845873233014,0.06218855594374771,0.062037539784651395,0.06288549565279654,0.1136055630130573,False,11.904174106789574,medium_high,healthy,medium,high,1,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
43,352.5183486238532,395.8807339449541,109.0,27.25,25.556349186104047,5.890312181373172,10.154499568610973,4.07182600236436,2.4938441777017553,0.9160835851007402,0.7465753424657534,2.097194620805929,1.3459209884312688,0.5687263133277308,0.8367511944359247,0.27814550455075426,0.10465805158798863,0.13041434400276028,0.1572700133614563,0.01964349109196253,0.004785847486339827,0.6473466450800505,0.6512682137075014,0.6247886310487497,0.020426904003812328,0.020426904003812328,0.021247379392755034,0.03228713461763815,False,8.633757183532676,medium_medium,moderate,medium,medium,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
44,391.3484848484849,397.75757575757575,132.0,33.0,32.71320343559643,6.4820448144285745,11.517388858185505,5.403114598969886,2.131620317729577,0.8831308746069896,0.6439024390243903,1.55002122930271,1.2669981762780977,0.6077834387005527,0.8818746018604655,0.28229825866298663,0.14370462673149545,0.1564189952372647,0.15893844294856868,0.001554763012720369,0.004739969552644385,0.6543969102792633,0.6583184789067142,0.6269459298871064,0.030947828065007774,0.030947828065007774,0.030947828065007774,0.04786582238975148,False,11.123057176778648,medium_high,moderate,medium,high,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
45,360.49436090225566,400.7368421052632,266.0,66.5,67.23401871576773,9.201653640780462,19.624257527810173,8.558835122897332,2.2928654712964,0.8998810124564092,0.51252408477842,0.739457740208686,0.8794381195955346,0.6084128473792332,0.8918643928276293,0.3430790880689913,0.125307392461896,0.13294691954783003,0.1539825582821239,0.01862253179623817,0.00199920179771173,0.6554916703523515,0.6594132389798024,0.6319327731092437,0.030118286827791017,0.030118286827791017,0.030766454269458766,0.046744024294269895,False,19.681683777277378,large_medium,stressed,large,medium,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
46,401.93700787401576,400.8976377952756,381.0,95.25,56.7517856687341,11.012541334134653,14.890559784928154,12.830540518410041,1.1605559222982282,0.5074927573232063,0.6205211726384365,1.486537186526599,2.187827339654563,0.528904127944775,0.8775287092018982,0.22007813578766397,0.16073101570445258,0.15466758304256983,0.1597310427023622,0.002274176410665167,0.0016238066461162187,0.6377746899284649,0.6416962585559158,0.610323709536308,0.03062550195595769,0.03062550195595769,0.03062550195595769,0.04861718995655413,False,29.205550628421168,large_high,stressed,large,high,4,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
47,417.40731707317076,404.3707317073171,205.0,51.25,40.55939751330898,8.07796550300118,14.44756065160708,5.874688506060459,2.4592896519879575,0.9135967224954794,0.7068965517241379,1.5659602532486137,1.250474750825018,0.5785752697385352,0.861895385829828,0.23805681810255622,0.13015225570049985,0.15277094985181763,0.15484726947448915,0.001007858679977728,0.0029808965824744903,0.6435772357723578,0.6474988043998088,0.6161262553802009,0.023539643100262405,0.023539643100262405,0.023539643100262405,0.03702749806115058,False,16.62751661410262,large_high,moderate,large,high,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
48,235.5965909090909,406.95454545454544,88.0,22.0,24.867009357883866,5.292567428401227,8.752727646498105,4.3252079759803355,2.0236547456459,0.8693735685683881,0.6875,1.788320770055677,1.4625339654726288,0.5902693170264283,0.846798324414705,0.3462841416507292,0.12112915709968841,0.1613036333028716,0.16382882609523233,0.0011264407162454716,0.007331983331948708,0.647192513368984,0.651114081996435,0.6197415329768271,0.026409111046855064,0.026409111046855064,0.026409111046855064,0.041306227914646096,False,7.520775887841802,small_high,moderate,small,high,2,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
49,432.7568493150685,408.9246575342466,146.0,36.5,32.384776310850235,6.817128675830715,11.490132168232442,4.933289282706536,2.32910164188236,0.9031381400734138,0.7263681592039801,1.749366946833252,1.4080332994098461,0.5738036018941234,0.8903596853512926,0.2370947268618488,0.15517170005327094,0.15002763612246214,0.15196529755480886,0.0009108714225861235,0.004110346195135949,0.6431103948428686,0.6470319634703195,0.6156594144507117,0.03100271052303672,0.03100271052303672,0.03100271052303672,0.048802626221836586,False,11.886077344720444,medium_high,moderate,medium,high,0,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif
